,16351,5562,7797,22416,26648,25671,19758,24931,3522,13759,21472,15413,115,14684,15510,8671,4098,12917,4275,27869
0,7.8173,8.8478,7.7963,9.409,10.2109,11.5292,10.7433,13.1667,14.4136,8.4945,13.2665,8.975,15.412,12.7007,10.0808,13.7751,7.7533,8.2505,7.7087,11.8535
1,7.5223,8.0882,10.9247,11.4597,12.8235,10.6179,11.1346,12.9337,10.9744,8.0018,12.7826,9.6934,15.6488,8.6953,10.6424,14.6517,10.1278,9.9876,7.5566,12.584
2,13.4511,12.4915,14.7112,13.8775,8.7816,13.1811,7.5244,11.4362,13.3292,8.6985,13.8579,13.0504,10.5826,12.4558,9.9551,12.2465,10.0127,11.2952,11.3616,13.5319
3,10.6136,10.6898,15.2009,10.9524,10.9952,13.4788,7.7499,12.805,11.5159,9.6271,14.8694,10.0817,11.615,11.1765,10.2326,14.9393,9.0922,11.562,10.9488,8.4701
4,7.7615,10.3979,15.3853,13.7512,12.4669,8.5731,8.7881,13.203,7.3941,9.6847,14.8504,9.4682,12.3346,9.5564,11.7,12.0387,7.8281,12.8423,7.9333,11.1013
5,11.5673,10.8009,15.3595,12.395,11.0016,9.414,9.0751,13.6007,12.475,8.6919,14.5402,9.5453,10.8609,11.1193,12.9183,13.4162,8.6544,13.4155,8.3528,12.0305
6,10.0232,10.1353,15.263,12.9736,11.9607,13.5739,7.759,12.8936,11.269,10.5719,14.6879,10.8163,13.2248,11.0045,9.8778,14.4599,8.4932,12.1329,10.4737,11.1154
7,12.5202,11.8908,15.1426,10.4996,11.8922,12.8166,9.5852,13.7984,12.5455,8.9996,14.6822,10.0727,11.0129,11.5422,12.107,13.6697,8.6396,13.3912,11.1306,12.284
8,9.7559,9.5981,15.4498,13.2654,11.6476,14.0207,9.6064,12.6695,9.6032,7.6992,14.9082,11.4856,12.2677,12.3821,12.0819,12.7292,8.6384,13.1906,11.7401,10.4997
9,10.4556,10.3731,14.4149,14.0792,9.8906,7.7581,10.6922,13.0538,11.119,7.8407,14.4764,9.6412,9.3754,9.3049,11.8638,11.4281,8.4124,11.8908,8.0855,11.5286
10,8.8444,11.25,15.3706,12.9671,11.4764,9.4438,10.1239,13.4816,9.2177,8.1173,15.1167,8.6463,9.6862,11.5722,11.9723,12.5846,9.277,12.0443,8.1894,10.1116
11,8.524,10.647,15.1915,11.6876,12.0416,7.8289,9.7606,13.23,9.1535,8.3162,15.1439,8.33,9.7966,10.0651,11.9998,11.6814,8.0262,12.654,7.924,10.1456
12,12.4188,11.9314,15.3675,10.1338,10.7764,12.1564,9.4588,12.3581,13.0772,10.9506,14.5637,10.9134,13.3626,13.2108,11.4705,14.6446,10.4643,11.7215,11.1557,12.2429
13,12.4239,11.046,15.3469,12.605,11.1499,13.3134,9.8223,12.1186,12.04,7.7125,14.329,11.6664,12.0689,12.8832,10.6349,13.1156,10.475,11.0518,10.5565,12.5468
14,7.6347,13.5646,15.0845,14.0645,13.5458,7.6737,9.587,14.2897,11.494,9.2793,14.8037,10.114,13.0776,12.2331,12.0565,12.4047,9.899,12.9844,7.8873,11.9383
15,10.8148,11.2893,15.2475,13.8211,11.2309,9.2393,9.4236,13.5075,11.4739,9.4993,14.6149,8.9052,9.5356,12.2476,12.7627,14.1939,11.1104,11.9774,7.8218,11.7367
16,8.1757,12.5022,15.1314,13.9022,13.2585,7.913,10.645,13.8612,11.7707,8.0388,14.4911,9.6298,13.2907,10.1087,8.178,14.7053,8.6564,12.4698,8.3007,12.3102
17,8.8997,10.5644,15.3643,13.372,12.3725,12.9053,9.5962,13.3255,9.6933,8.0155,15.1351,8.2995,10.3677,11.0047,12.516,13.5197,8.0587,12.1011,10.0257,11.7949
18,7.8612,10.753,15.3691,11.7745,11.7912,13.8865,7.496,13.3377,10.8423,11.1436,14.515,9.4001,13.4642,11.4557,11.4306,14.8156,8.1377,13.2538,11.7538,10.4637
19,7.7594,11.318,15.2062,12.1743,12.7796,11.9498,8.436,13.5037,7.642,9.0987,14.5504,8.1632,10.9505,12.2936,10.5236,11.6799,9.333,12.277,10.1928,10.3034
20,8.3895,11.455,14.9872,12.8635,12.0447,10.7253,8.3852,13.1698,8.9614,9.1917,14.6501,10.129,10.6594,12.5989,11.4189,11.539,8.5615,12.3744,7.8669,11.2829
21,13.5462,11.519,15.0554,9.5087,12.0447,13.8491,7.7279,13.838,13.7259,12.6997,14.2399,9.4682,13.9261,12.6543,12.2526,15.1823,8.7394,12.138,13.4041,12.251
