label
MHG
MHG
MHG
GCB
GCB
GCB
GCB
GCB
GCB
ABC
GCB
MHG
MHG
GCB
GCB
GCB
ABC
GCB
UNC
GCB
ABC
GCB
ABC
MHG
UNC
ABC
GCB
GCB
GCB
UNC
ABC
ABC
ABC
ABC
GCB
GCB
UNC
GCB
MHG
GCB
GCB
GCB
GCB
MHG
ABC
GCB
GCB
GCB
UNC
GCB
ABC
GCB
GCB
ABC
GCB
GCB
ABC
UNC
GCB
MHG
GCB
ABC
ABC
GCB
ABC
GCB
MHG
ABC
UNC
GCB
ABC
ABC
ABC
GCB
ABC
GCB
GCB
GCB
GCB
ABC
ABC
UNC
GCB
GCB
MHG
MHG
GCB
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
GCB
MHG
MHG
GCB
GCB
GCB
UNC
MHG
MHG
ABC
ABC
ABC
GCB
GCB
MHG
MHG
MHG
MHG
GCB
MHG
MHG
MHG
MHG
MHG
MHG
MHG
MHG
GCB
GCB
ABC
GCB
MHG
ABC
UNC
GCB
ABC
MHG
GCB
UNC
GCB
MHG
GCB
GCB
GCB
ABC
MHG
MHG
MHG
MHG
MHG
MHG
MHG
GCB
GCB
UNC
MHG
MHG
MHG
MHG
GCB
GCB
ABC
GCB
GCB
GCB
GCB
ABC
UNC
UNC
MHG
GCB
GCB
ABC
UNC
MHG
GCB
GCB
UNC
GCB
GCB
GCB
GCB
GCB
GCB
GCB
GCB
MHG
GCB
GCB
UNC
GCB
MHG
MHG
MHG
MHG
MHG
MHG
MHG
UNC
MHG
GCB
ABC
UNC
GCB
GCB
UNC
GCB
UNC
ABC
UNC
ABC
UNC
UNC
UNC
UNC
UNC
GCB
ABC
UNC
UNC
ABC
GCB
UNC
GCB
GCB
UNC
UNC
ABC
ABC
GCB
GCB
ABC
GCB
GCB
ABC
GCB
GCB
GCB
GCB
GCB
ABC
ABC
GCB
UNC
MHG
ABC
GCB
UNC
ABC
UNC
ABC
ABC
GCB
GCB
ABC
GCB
MHG
GCB
ABC
ABC
ABC
ABC
ABC
GCB
ABC
UNC
GCB
ABC
MHG
UNC
UNC
UNC
GCB
ABC
GCB
ABC
ABC
ABC
GCB
ABC
ABC
ABC
MHG
GCB
UNC
UNC
ABC
UNC
UNC
UNC
UNC
GCB
ABC
ABC
MHG
GCB
GCB
GCB
GCB
ABC
GCB
ABC
ABC
ABC
ABC
UNC
ABC
GCB
ABC
GCB
